Geneid	Length
alphaTub85E	111
CG12950	953
Pnn	811
CG34409	179
CG31415	116
CG12948	288
PpD3	753
CG16908	31
Rpt3R	166
CG8412	105
CG8417	66
Snap24	909
CG8478	300
MED6	413
CG8481	604
CG9471	170
Whamy	181
topi	47
RpS29	746
CG12947	300
MtnA	455
CG8500	2469
CG12945	1617
CG8507	160
CG8516	754
CG9467	694
CG8526	54
FBXO11	1406
CG8534	137
eloF	141
CG16904	172
CG9459	77
CG9458	98
CG42857	118
CG34302	103
Teh1	2648
Glut4EF	11813
Art4	1100
Gr85a	3
Spn85F	3
CG5359	717
Mical	6486
CG31407	115
CG3909	32
CG11722	34
mtTFB2	61
CG12811	132
ohgt	209
Fancl	42
Npc2e	91
Npc2d	138
Npc2c	168
CG33630	3
CG33631	3
CG33783	3
CG33784	3
nerfin-2	311
CG5361	42
Fmr1	1926
CG3940	915
gammaSnap2	127
ATPsynepsilonL	103
knk	162
tws	2021
TAF1B	670
CG42759	132
Invadolysin	828
CG34303	3
CG6254	34
Best1	524
CG12814	1114
Syn	3634
Timp	642
CG12420	75
CG12817	478
CG34107	212
CG42795	503
CG3999	180
Sirt6	30
pont	71
CG43143	3332
CG6293	763
Bruce	608
CG12818	99
sle	323
CG12592	324
CG18545	53
CG31406	104
jumu	1357
Rfx	1406
cwo	1417
mthl11	15
CG6325	684
Irp-1B	150
Rrp46	48
CG6345	18
CG46270	119
Cyp12e1	44
hth	8084
CG6465	83
CG14688	153
Skeletor	2547
pug	171
CG14683	35
CG31391	178
CG31467	125
CG14684	80
CG31278	370
CG31373	103
CG14689	91
CG4073	92
tomboy20	135
TkR86C	609
CG14691	484
CG31272	204
MED7	142
Cap-H2	862
TfIIFbeta	182
CG45076	1176
fau	504
CG45078	1313
Desi	99
CG42633	4
mRpL37	49
Rbp1	948
Art1	288
Mcm5	112
CG14687	197
CG14692	72
CG14693	1856
CG4089	381
Cad86C	3268
CG42394	308
CG4565	41
CG6567	222
CG4511	648
CG4570	224
CG14694	21
CG6574	255
SelR	1850
Tsp86D	593
Fdh	94
CG4596	928
Sodh-2	195
CG14695	203
Tpc1	437
CG14696	104
Leash	1187
Adk3	318
CG6621	150
Tengl4	126
CG34114	2437
CG43449	685
CG6629	91
Ugt86Dd	106
CG4706	142
CheA86a	166
Ugt86Di	946
Ugt86Dc	3
Ugt86Da	267
CG4757	426
Ugt86Dg	3
Ugt86De	140
Ugt35b	88
Ugt35a	130
Ugt86Dj	137
Ugt86Dh	411
CG18577	454
cu	180
SdhC	343
Tctp	1002
ZnT86D	563
RpS25	480
CG4820	23
CG6689	21
CG6693	240
RpL3	1663
scpr-C	307
CG17726	60
GCC88	86
CG17187	195
CG14701	124
Arfip	656
CG17721	164
CG31441	1008
CG31388	770
scpr-B	100
scpr-A	68
CG17734	875
CG5214	273
pros	15533
KP78a	2237
KP78b	233
mRpL40	55
mgr	257
Irbp	1162
Ranbp9	85
CG6723	143
CG45676	6
ninaG	113
CG5270	433
CG18643	372
RpL24-like	107
CG5276	254
CG6744	71
CG5281	303
sals	337
CG17230	1808
PGRP-LB	161
dpr5	440
dpr4	1020
CG14708	66
CG10898	351
fabp	1388
sea	272
Mrp4	270
CG6790	87
CG5342	43
wkd	665
CG6791	371
Jupiter	785
CG14710	93
CG6808	262
CG14711	116
CG6813	567
CG18764	46
CG14712	270
Csk	1545
Elp1	507
CG42327	515
CG14715	165
CG18476	38
Taf12	169
Ho	107
CG6830	19
CG6834	122
CG6908	64
CG18765	62
Fer3	166
CG14717	764
CG14718	637
I-t	292
CG14720	20
CG12594	479
CG14721	229
Blm	219
CG14722	305
CG6923	713
CG43062	20
Lk6	2044
l(3)neo38	3805
CG17360	692
HisCl1	845
Sbf	639
ClC-a	2611
glo	1375
COX5A	141
CG6950	30
CG6959	931
sad	107
CG6962	81
CG31368	88
mthl5	128
CG6971	93
Cad87A	739
CG34307	73
CG14731	114
CG31211	1232
Hsp70Aa	201
Hsp70Ab	195
CG3281	163
aurA	176
CG12213	754
GC1	514
Tango9	2233
GC2	31
CG10005	320
CG18547	50
CG12224	93
CG3397	128
mfas	140
Tk	570
Ect3	162
KLHL18	768
GCC185	476
DCAF12	307
Spt3	173
CG31358	2147
CG42505	380
CG42504	1139
ssp5	128
CG14736	599
CG14739	102
CG14740	68
ATP8B	1211
dpr17	440
CG4702	181
dpr15	990
Cpn	72
eIF3d2	520
CG43450	90
CG3809	94
CG4830	204
Cog1	2195
CG14742	80
CG4860	134
CG10014	89
CG17404	75
CG12256	85
CG3916	109
Pglym87	157
Cyp313a5	63
Cyp313a2	93
Cyp313a3	144
CG3942	69
svp	2485
CG44037	98
CG44038	90
CG17738	51
Sfp87B	81
CG4066	3
CG10013	165
CG44956	197
CG10038	96
CG10041	75
MBD-R2	235
CG4115	333
Tim17a1	253
GstD10	140
GstD9	81
GstD1	128
GstD2	62
GstD3	87
GstD4	27
GstD5	161
GstD6	91
GstD7	38
GstD8	144
CG10035	865
GstD11	93
CG34402	25
CG33098	483
CG10096	743
CG10097	3719
Cyp9f3	686
lig3	92
Cyp9f2	90
CG5167	91
CG5196	302
Dip-C	102
pps	347
Scgbeta	52
CG17202	143
Pp1-87B	1068
NANS	44
CG5641	96
CG5245	63
Prosalpha2	98
Aos1	65
CG5844	137
Desat2	101
CG17207	594
Desat1	678
CG5538	83
CG18549	353
CG5509	244
trus	240
CG5961	81
CG12267	19
CG5608	102
Hsp70Ba	182
Hsp70Bbb	182
Hsp70Bb	182
Hsp70Bc	221
Octbeta3R	1362
Hug	292
Octbeta2R	2304
Vha55	1008
Snx3	1046
Not10	216
CG18530	21
CG11598	84
CG11600	99
CG11608	89
CG6753	181
Dtg	327
CG6225	367
CG14395	349
Gnmt	82
CG43630	103
mbo	409
Cyp313a4	99
kar	618
Su(fu)	162
CG31347	389
Arp1	262
CG14391	114
NijC	442
Past1	797
CG12279	204
mus308	151
Men	372
CG5724	100
CG5999	73
beat-Vc	582
CG31345	203
beat-Va	1661
CG10126	125
d-cup	339
CG10909	64
beat-Vb	282
grsm	157
Spc25	211
Cyp304a1	154
CG14384	94
CG7381	411
CG7091	121
Paip2	1251
CG31342	1402
CG14383	127
yellow-f	96
yellow-f2	64
CG7488	59
CG17327	49
CG44194	452
CG7518	861
CG8031	303
CG11656	130
CtBP	3290
CG46280	1021
CG46281	133
l(3)87Df	152
ry	94
CG11668	117
snk	582
CG11670	83
CG45122	3
Hsc70-2	79
CG31157	123
CG7966	52
pic	297
sim	661
CG43063	52
timeout	75
CG34308	171
2mit	4163
CG8138	54
CG8508	142
CG14380	345
CG8141	43
CG8483	406
CG8476	94
Ace	5393
CG11686	109
Ravus	129
Su(var)3-7	1149
TBC1D5	186
CG8630	577
CG15888	105
CG15887	345
Osi22	74
wntD	160
CG8773	121
CG8774	106
CG32473	160
CG43208	108
CG44142	64
CG45080	88
PK2-R2	271
PK2-R1	323
mthl12	3
poly	280
Dic1	588
CheA87a	73
Lip3	94
CG34309	251
CG9813	796
CG8870	169
mRpS21	114
Droj2	506
CG9799	65
CCHa2	617
CG14374	118
CG14377	402
GILT1	260
CG33977	80
yellow-e3	28
yellow-e2	201
yellow-e	93
Ir87a	3
Act87E	644
yrt	995
CG14372	1426
CG12538	3
CG42778	115
CG31337	352
CG14370	143
CG14369	647
CG9759	1785
CG9757	414
CG9269	51
CG10841	102
sqd	6009
rin	2964
Rbp4	141
Hrb87F	1460
B52	3400
Task6	1548
CG9588	414
Lkb1	436
omd	294
flfl	2175
CG14367	274
f-cup	903
ninaB	168
Adgf-D	32
Adgf-C	42
CG31469	116
primo-1	53
primo-2	699
CG34383	6307
Ubc87F	82
CG9312	70
Cht5	207
CG9297	994
CG9288	130
CG42375	794
CG9286	18
Dip-B	226
tal-1A	1090
tal-3A	870
tal-AA	682
tal-2A	977
Mst87F	152
Nsf2	1186
CG31495	537
CG14362	65
E5	156
ems	670
Art9	113
Art6	48
CG31517	611
CG9926	932
Ipp	144
CG9925	217
Orc2	76
rdx	2128
Cyp6d5	60
CG3061	552
CG9922	165
foxo	1293
Npc2b	225
CCHa1	135
CG9920	307
PK1-R	817
CG12402	1074
Or88a	3
CG14357	3
Kif19A	175
Abi	806
twf	290
140up	345
RpII140	376
CG14356	87
CG14355	79
CG42500	114
CG9722	83
CG44215	329
CG31533	32
CG31327	40
CG3199	28
Dop1R1	12544
CG9649	61
CG31326	190
CG33109	132
Sp212	57
CG9631	86
CG9624	185
CG43291	1699
CG9616	71
MetRS-m	2484
CG43179	200
CG14840	76
CG14841	132
CG14839	61
trx	1579
red	796
CG3259	51
su(Hw)	356
RpII15	605
CG31321	241
Crz	110
PR-Set7	1739
Afti	1598
ATPsynE	202
spn-B	201
NK7.1	814
HEATR2	247
soti	426
cv-c	1095
natalisin	141
HtrA2	940
mRpL11	60
CG8461	61
Pde6	1733
CG34273	51
Cyp313a1	93
CG14854	98
CG14850	66
CG14851	28
CG8087	34
CG14852	46
CG31313	585
CG8066	799
Cys	70
CG7987	264
CG44094	11
stumps	584
CG14853	969
put	2007
His4r	192
CG7886	337
Cad88C	167
l(3)L1231	2266
CG3505	54
Hexim	345
Rad17	170
BigH1	79
Meltrin	1426
kibra	1198
CG7530	402
eff	1084
jvl	4577
smp-30	258
CG7362	131
CG14855	59
CG14856	242
CG14857	359
btsz	3091
CG3610	67
CG3631	574
Rrp6	229
CG33331	132
CG33332	190
CycC	193
UQCR-C1	95
CG7265	18
CG14860	763
Nup93-2	24
CG3817	37
VhaPPA1-2	36
RpS5b	325
VhaPPA1-1	586
Sdr	1220
CG14861	173
RpL10Aa	79
dpr9	2257
CG6974	3
CG6966	1881
CG42788	1674
CG6912	50
CG3984	106
CG3987	182
GlyS	363
Gyc88E	1079
Mf	4350
CG6752	251
CG42542	632
Spn88Ea	127
Spn88Eb	62
Mau2	94
CG6654	272
CG4210	101
SIDL	102
CG12241	419
Rpb7	152
CG31344	58
Caf1-55	221
Art3	49
mRpS10	167
CG34316	73
tefu	80
Hsc70-4	302
Amt	87
CG42404	5198
eIF2gamma	526
Su(var)3-9	370
Set	227
ATPsynO	105
CG14864	48
Zip88E	340
Cp190	614
CG4338	39
MRG15	148
l(3)neo43	265
Tm1	3339
CG45218	29
Tm2	1020
CG14866	150
CG6276	240
CG44040	87
ear	998
CG6236	217
ea	50
mRpL9	34
FK506-bp1	123
Sra-1	632
CG6218	679
SerRS-m	1132
Surf4	614
CG31301	103
CG42727	56
CG42726	891
Trs33	52
CG5038	461
Atg4b	553
CG5044	455
ldlCp	805
Trax	82
CG6171	351
CG34404	661
CG14868	123
CG6136	989
Ccm3	770
Rbp	3411
h-cup	695
CG6125	434
Atx2	2262
CG6118	1050
Act88F	373
AdamTS-A	996
B9d1	57
Rh6	183
Trissin	167
obe	328
CG5213	66
CG44014	122
CG44013	265
CG31296	448
AOX1	192
AOX2	133
AOX3	125
AOX4	3
CG43335	3
CG43336	3
pxb	2580
CG31446	129
CG5399	799
CG5404	803
CG31294	110
CG34274	48
CG4520	405
CG12784	80
CG5623	235
CG4525	91
CG5614	109
CG9590	137
CG9589	132
c(3)G	318
Acyp2	166
nsl1	3239
CG9593	117
alpha-Man-IIb	1184
rec	1461
CG4576	55
CG43318	63
CG43317	65
Arpc3A	474
ND-23	80
spn-E	312
Pbp45	178
cv-d	61
CG4546	156
Hmt-1	231
CG31183	463
CG9632	477
CG14877	3
glob1	683
EndoU	484
CG45105	2904
Fbxl7	387
CG34276	996
CG5478	198
blp	306
Sap47	3935
CG31088	60
CG4287	374
CG5516	116
CG32856	132
Rbf2	184
mor	255
Hel89B	129
srp	948
GATAe	383
pnr	1487
CG10264	118
CG10407	115
IKKbeta	236
CG5013	114
msps	859
CG10185	101
Mhcl	812
CG32855	150
sxe2	194
Akt1	2559
Sb	525
CG5903	1433
CG5916	873
Fer2	422
CG6006	1525
CG8925	222
CG8927	408
Bin1	99
sra	672
CG6126	211
CG31287	695
mtSSB	123
tara	828
bor	482
asun	348
Mst89B	96
Mat89Ba	137
gish	3395
Zip89B	113
Sulf1	642
CG44044	62
CG6901	78
CG17929	116
CG17930	53
SF2	1714
pad	428
CG14879	1137
Manf	221
CG10311	347
CG17931	1010
CG42446	707
CG14880	170
CG10317	634
ss	1795
CG31279	296
CG17565	227
CG14881	376
mRpS33	35
ema	146
CG14894	232
CG14882	311
Pak3	2365
CG10405	50
CG14883	573
CG42232	322
CSN5	135
Gyc89Da	107
Gyc89Db	237
Dhfr	22
Sdhaf3	19
Der-2	338
Cad89D	136
Gr89a	3
Decay	140
CG42342	3716
CG14891	143
CG14903	51
Scp2	531
CG14892	190
CG10345	230
NPF	188
CG12783	134
CG10340	61
CG17562	77
CG17560	184
CG14893	107
CG14905	144
Fas1	2583
nonA-l	895
Arl6IP1	423
CG10324	105
CCT3	242
CG14906	68
CG14907	341
modSP	249
Ubx	2152
CG31275	230
Glut3	153
abd-A	2476
Abd-B	2180
VhaM9.7-d	216
Actn3	21
AhcyL2	111
CG18622	317
MESK4	537
CG3678	259
CG31274	438
CG17556	272
CG3534	180
Sf3a1	110
Irc	98
CG8907	124
Pxd	89
AdSL	772
CG5225	40
CG31268	1077
CG4009	240
CG18213	257
CG5220	31
CG3995	145
Patr-1	1295
Dad	1276
Ns1	80
mRpS11	63
Keap1	399
kuk	375
GckIII	265
cal1	543
cher	510
CG34278	57
CG42779	312
CG45079	31
CG17477	42
CG31269	113
CG31265	77
CG17475	181
CG4053	88
CG31266	124
CG31267	73
CG5246	175
CG5255	77
CG5265	133
TwdlW	110
m-cup	1168
Det	88
CG5285	74
CG5292	1262
Mur89F	528
CG31262	1656
beat-IIb	510
CG44259	296
CG44257	202
CG31418	23
CG31419	41
beat-IIa	785
Brf	814
lute	1288
sds22	114
CREG	254
Sur-8	2140
CG34279	308
CG34280	113
CG42823	51
CG42824	26
CG42798	192
CG17283	184
CG5860	112
CG5863	321
CG42821	101
CG42822	211
CG5866	34
CG33333	115
CG42834	144
CG42835	28
CG14332	115
cysu	380
CG44090	58
CG14331	183
Eh	250
CG14330	620
Dscam3	1575
CG5823	398
P5cr-2	292
l(3)07882	1659
SF1	1823
Prx3	172
Hmx	1174
CG7587	87
Sgs5	117
CG7606	1638
sll	234
CG14329	136
Edg91	82
CG34281	116
CG14327	129
CG14324	47
CG14326	80
CG14323	272
AttD	143
CG14325	3
CG43175	82
CG14322	861
CG7523	256
Mps1	123
alt	1095
CG7655	167
CG31251	72
CG31360	279
CG31249	320
osa	2003
Pxt	172
Atg8b	141
Lgr1	394
CG14321	299
TyrRII	1553
TyrR	1988
CG43102	1825
pasi1	242
CG7379	293
CG17803	126
CG17806	256
CG17802	308
CG17801	61
Odj	250
CG18012	182
tinc	3247
Rim	4009
CG12347	596
CG43445	137
cpo	6844
DNaseII	92
CG7785	865
CG7794	82
htl	518
CG14317	119
sr	3105
CG14316	83
CG14315	51
CG7218	420
Cbp20	70
CG7215	964
Prx5	127
wrd	2157
cdm	645
CG7208	130
Arp5	54
CG12321	60
MED17	76
CG14313	83
Ssdp	2685
CG7985	349
CG44158	65
CG14314	137
CG7183	373
CG7988	25
mTerf5	67
Non3	36
CG7168	77
Mdh2	222
repo	855
CG7156	475
14-3-3epsilon	2265
CG12320	494
CG18598	64
Ada2a	652
Rpb4	198
moi	1469
Tgs1	72
CG18599	74
Vps39	194
eIF1A	1072
CG7142	103
CG14312	96
CG8064	61
CG7131	348
l(3)05822	716
Dlc90F	290
CG18600	181
CG7126	3
PKD	845
CG31235	1152
CG15803	2011
hmw	97
WRNexo	369
Nup43	55
gl	1415
CG7675	116
CG14309	372
cona	142
Vha100-4	109
Vha100-2	305
Vti1b	122
CG12333	457
koko	284
CG7685	198
CG31122	1821
CG10864	124
fru	10185
CG7691	91
CG43210	279
hemo	605
CG7694	74
fray	1094
qin	454
CG14304	220
CG14305	227
CG7695	230
CG14301	525
CG31224	1023
CstF64	102
Cpsf73	41
Gos28	140
CG31231	111
CG31229	59
CG7702	271
CG31230	182
CG7705	2263
CG7706	120
CG46318	2827
CG7708	2080
Muc91C	261
CG14300	30
CG34282	379
ChAT	1420
VAChT	4373
CG34283	40
CG7714	196
CG7715	115
CG14302	43
Mekk1	175
CG7718	191
gwl	359
Epg5	139
CG7720	235
CG18208	6874
CG31226	137
CG14298	285
CG14297	110
Rh2	167
CG14294	110
CG34284	122
CG14292	95
EndoA	2382
CG14291	210
Xrp1	488
Mpc1	505
CG42613	2662
CG43732	4925
euc	105
Smu1	86
dnk	295
snRNP-U1-C	142
gukh	1910
CG6005	398
CG14286	107
CG14285	77
GatA	31
NP15.6	118
P5cr	90
Prp18	206
CG6013	137
CG6026	453
cdi	2597
mRpL55	48
ATPsynD	329
CG6040	471
Cyp12a5	175
Cyp12a4	38
Ppcs	2545
CG5835	409
CG11779	1039
nos	883
Nsun5	137
CG42359	96
sqz	757
CG14282	56
CG5555	176
CG31475	247
cry	83
vib	2462
CG11703	146
CG5250	78
CG3773	108
unc79	841
CG5217	220
CG14280	253
CG44174	154
Dl	2100
CG43203	533
Ino80	171
CG3581	143
CG31404	101
CG31245	77
CG3734	67
CG18493	111
CG3739	115
CG31244	90
CG5316	1991
CG11626	530
CG31221	3047
CG3517	133
Dys	2811
CG6255	60
CG15025	241
Cpr92A	264
CG7333	36
CG7342	200
CG17751	40
CG17752	60
CG16727	259
CG6231	617
subdued	514
CG34138	92
Vha13	493
Nup58	43
CG6195	43
CG31220	57
CG31219	92
CG6184	251
ort	355
CG7432	210
Naam	562
CG34286	328
GluClalpha	4272
CG6300	63
CG11659	17
CG11391	158
CG11407	113
CG11453	118
bnl	1169
CG31459	125
CG4662	1047
Ire1	535
CG11447	208
CG4572	208
CG4686	315
CG4562	3264
CG17186	242
Arc42	62
Ask1	302
