Geneid	Length
Mst84Dd	105
Mst84Dc	87
Mst84Db	69
Mst84Da	83
CG42650	69
wa-cup	90
CG14598	87
CG1142	44
alpha-Est10	293
CG42656	35
alpha-Est9	541
Mics1	133
alpha-Est8	462
Ubc84D	98
alpha-Est7	110
alpha-Est6	60
Rtnl2	167
alphaTub84D	506
alpha-Est5	90
alpha-Est4	58
alpha-Est3	185
alpha-Est2	288
alpha-Est1	186
CG45545	91
Nlg3	1207
Nlg1	767
CG2616	130
CG43254	24
pyd3	93
CG10919	148
Sp7	588
CG11286	56
CG18747	45
CG18745	166
CG18748	80
CG18746	80
CG10086	94
CG2641	140
CG18744	24
CG3014	764
CG18268	156
CG2993	861
sgll	224
CG31473	82
CG34384	1164
CG17816	823
ArgRS-m	62
mRpS9	35
wtrw	945
EMC1	141
Taf7	311
Prat	93
CG2846	277
CG2678	233
CG10445	232
lds	98
dsx	1820
CD98hc	457
Os-C	16
Sfp84E	29
CG2781	430
PIG-H	213
Kmn2	24
CG2698	261
CG2767	143
CG11052	246
CG3223	88
CG10435	132
Pbp95	47
CG2747	558
ImpE3	65
CG10903	256
CG11035	102
unc-45	244
CG43060	24
CG43618	9
CG43061	29
mAChR-B	446
CG7910	290
CG7900	25
puc	867
CG7878	128
CG9667	63
Gie	115
grn	420
CheA84a	8
CG7800	104
CG18249	52
DNApol-iota	224
Ada2b	92
CG9636	271
CG18749	1870
CG33722	152
CG15864	11
mtg	664
RpA-70	81
Mcm2	131
CG9630	54
ato	74
CG11671	163
CG11672	30
CG31464	12
CG31463	31
CG9626	200
mRpL1	72
nac	98
Sgt1	152
tex	70
CG11693	844
CG11694	69
CG11698	56
CG7483	130
Coq2	94
Ctr1B	125
Poxm	668
CG7443	61
COX7A	144
Arl2	79
CG9601	74
COX7AL	104
DppIII	172
CG7352	304
Atg13	319
stck	314
CG9684	80
CG7963	54
CG45263	1355
CG11737	736
CG31454	368
CG31259	477
CG11741	14
pch2	92
mRpS18A	85
CG31460	210
Cenp-C	150
5-HT2B	643
Cyp313b1	166
Mkk4	285
SLIRP2	33
Dhod	132
CG11753	215
CG42489	350
bel	754
p	633
CG8032	368
CG8036	754
mRpL19	78
CG9773	95
CG11755	275
CG8043	134
CG33325	23
CG44227	152
hb	660
Cks85A	202
CG8112	189
TMEM216	555
CG11760	135
CG8136	206
nom	68
ouib	5
CG8159	74
ranshi	33
M1BP	116
CG8202	42
CG9801	695
CG8223	469
CG11768	1130
CG34135	5754
CG8236	111
CG13318	19
CG34301	9
Pif1A	2073
Pif1B	5756
CG33191	87
CG33189	57
CCT7	114
CG9839	223
hng2	44
CG9837	605
CG9821	1298
CG8369	463
IscU	106
CG8379	144
pyd	3340
osk	991
skap	90
CG11964	35
CG11966	964
CAHbeta	157
RagA-B	91
CG11970	379
E(var)3-9	84
CG11975	131
CG31100	386
CG11977	4
CG11980	94
Prosbeta3	155
CG11982	258
CG11983	265
Kcmf1	798
Sf3b5	77
CG11986	54
tgo	198
neur	574
hyx	454
Nmdmc	441
Rel	643
Mst85C	251
Kdm2	410
beag	89
Ada	56
pum	2324
CG11997	45
D1	373
Vps15	116
CG8420	767
St2	28
CG16734	42
CG16736	38
Ibf2	61
Ibf1	84
VhaM8.9	87
sage	400
TrpRS	113
Vps16A	103
CG8861	381
HP1e	56
CG12951	6
CG16749	6
Aduk	117
pasi2	392
CG45050	2854
CG43675	311
CG18473	120
CG8129	297
FER	1595
CG34117	58
RpL34b	220
CG8132	72
CG9356	171
CG8135	534
CG42511	162
CG44261	24
betaTub85D	230
Task7	276
alpha-Man-IIa	146
ps	2516
GstZ1	101
GstZ2	427
CG16779	1095
phu	87
RhoL	490
CG8149	69
rump	168
Ras85D	441
Rlb1	36
mRpL47	42
JHDM2	522
CG8176	819
by	27
mura	281
RnpS1	149
CG9386	19
CG8199	90
AP-1mu	276
MBD-like	81
CG9393	151
Vps45	102
CG16789	29
CG16790	74
CG9396	156
CG9399	448
Kap-alpha3	332
CG8273	138
CG8301	663
P58IPK	421
bocks	73
CG8312	1239
CG9427	155
CG8319	77
Calr	86
SpdS	484
Scm	456
Dh44	348
Fst	27
CG43441	100
CG8358	29
CG16817	143
nmdyn-D7	142
CG9444	281
eca	97
CG18542	89
Unc-115b	1168
p24-2	95
CG32939	90
Unc-115a	958
trbd	590
dmt	68
hyd	90
FoxP	1439
alphaTub85E	102
CG12950	659
Pnn	110
CG34409	502
CG31415	133
CG12948	475
PpD3	196
CG16908	105
Rpt3R	71
CG8412	388
CG8417	156
Snap24	301
CG8478	253
MED6	961
CG8481	368
CG9471	174
Whamy	122
topi	163
RpS29	93
CG12947	123
MtnA	125
CG8500	332
CG12945	131
CG8507	87
CG8516	157
CG9467	296
CG8526	200
FBXO11	686
CG8534	58
eloF	21
CG16904	22
CG9459	29
CG9458	10
CG42857	89
CG34302	212
Teh1	1054
Glut4EF	1915
Art4	381
Spn85F	376
CG5359	75
Mical	564
CG31407	317
CG3909	77
CG11722	127
mtTFB2	95
CG12811	261
ohgt	97
Fancl	63
Npc2e	66
Npc2d	4
Npc2c	45
nerfin-2	58
CG5361	7
Fmr1	981
CG3940	549
gammaSnap2	26
ATPsynepsilonL	195
knk	445
tws	1534
TAF1B	851
CG42759	17
Invadolysin	733
CG6254	70
Best1	438
CG12814	169
Syn	558
Timp	319
CG12420	60
CG12817	69
CG34107	57
CG42795	764
CG3999	62
Sirt6	109
pont	220
CG43143	1095
CG6293	119
Bruce	166
CG12818	38
sle	255
CG12592	61
CG18545	10
CG31406	159
jumu	346
Rfx	874
cwo	1812
mthl11	19
CG6325	268
Irp-1B	54
Rrp46	72
CG6345	62
CG46270	121
Cyp12e1	11
hth	2222
CG6465	91
CG14688	148
Skeletor	2672
pug	375
CG14683	404
CG31391	86
CG31467	129
CG14684	29
CG31278	78
CG31373	30
CG14689	109
CG4073	133
tomboy20	105
TkR86C	949
CG14691	72
CG31272	209
MED7	99
Cap-H2	845
TfIIFbeta	105
CG45076	123
fau	123
CG45078	123
Desi	123
mRpL37	83
Rbp1	148
Art1	112
Mcm5	141
CG14687	129
CG14692	46
CG14693	167
CG4089	93
Cad86C	920
CG42394	95
CG4565	18
CG6567	90
CG4511	207
CG4570	211
CG14694	10
CG6574	375
SelR	509
Tsp86D	325
Fdh	106
CG4596	154
Sodh-2	71
CG14695	46
Tpc1	728
CG14696	167
Leash	433
Adk3	556
CG6621	349
Tengl4	148
CG34114	1579
CG43449	18
CG6629	109
Ugt86Dd	15
CG4706	75
CheA86a	93
Ugt86Di	53
Ugt86Dc	29
Ugt86Da	143
CG4757	22
Ugt86De	18
Ugt35b	36
Ugt35a	40
Ugt86Dj	13
Ugt86Dh	43
CG18577	14
cu	809
SdhC	50
Tctp	134
ZnT86D	342
RpS25	26
CG4820	78
CG6689	49
CG6693	235
RpL3	36
scpr-C	16
CG17726	38
GCC88	151
CG17187	171
CG14701	105
Arfip	283
CG17721	269
CG31441	71
CG31388	54
scpr-B	12
scpr-A	13
CG17734	124
CG5214	140
pros	4069
KP78a	636
KP78b	2943
mRpL40	73
mgr	107
Irbp	91
Ranbp9	172
CG6723	86
CG45676	204
ninaG	33
CG5270	303
CG18643	21
RpL24-like	93
CG5276	241
CG6744	127
CG5281	269
sals	696
CG17230	474
PGRP-LB	826
dpr5	454
dpr4	1005
CG14708	44
CG10898	598
fabp	434
sea	726
Mrp4	508
CG6790	5
CG5342	47
wkd	629
CG6791	336
Jupiter	651
CG14710	120
CG6808	1751
CG14711	72
CG6813	52
CG18764	105
CG14712	182
Csk	1472
Elp1	37
CG42327	739
CG14715	61
CG18476	100
Taf12	556
Ho	128
CG6830	89
CG6834	79
CG6908	63
Fer3	85
CG14717	137
CG14718	132
I-t	43
CG14720	61
CG12594	932
CG14721	135
Blm	126
CG14722	264
CG6923	715
CG43062	42
Lk6	1330
l(3)neo38	1430
CG17360	452
HisCl1	316
Sbf	164
ClC-a	1646
glo	201
COX5A	208
CG6950	493
CG6959	844
sad	106
CG6962	110
CG31368	84
mthl5	333
CG6971	96
Cad87A	591
CG34307	75
CG14731	25
CG31211	125
Hsp70Aa	255
Hsp70Ab	254
CG3281	93
aurA	168
CG12213	344
GC1	181
Tango9	297
GC2	335
CG10005	109
CG18547	46
CG12224	851
CG3397	33
mfas	652
Tk	160
Ect3	163
KLHL18	270
GCC185	159
DCAF12	213
Spt3	70
CG31358	56
CG42505	2457
CG42504	1647
ssp5	123
CG14736	421
CG14739	182
CG14740	98
ATP8B	956
dpr17	2171
CG4702	336
dpr15	514
Cpn	189
eIF3d2	59
CG43450	47
CG3809	145
CG4830	55
Cog1	82
CG14742	310
CG4860	14
CG10014	96
CG17404	14
CG12256	1
CG3916	43
Pglym87	52
Cyp313a5	37
Cyp313a2	5
Cyp313a3	157
CG3942	120
svp	731
CG44037	674
CG44038	22
CG17738	30
Sfp87B	54
CG10013	130
CG44956	17
CG10038	151
CG10041	61
MBD-R2	122
CG4115	122
Tim17a1	95
GstD10	106
GstD9	51
GstD1	88
GstD2	27
GstD3	62
GstD4	53
GstD5	31
GstD6	44
GstD7	46
GstD8	28
CG10035	31
GstD11	309
CG34402	483
CG33098	192
CG10096	3137
CG10097	11
Cyp9f3	54
lig3	94
Cyp9f2	120
CG5167	192
CG5196	632
Dip-C	376
pps	329
Scgbeta	86
CG17202	91
Pp1-87B	229
NANS	34
CG5641	81
CG5245	57
Prosalpha2	120
Aos1	91
CG5844	84
Desat2	173
CG17207	69
Desat1	661
CG5538	84
CG18549	343
CG5509	72
trus	51
CG5961	287
CG12267	67
CG5608	81
Hsp70Ba	219
Hsp70Bbb	242
Hsp70Bb	242
Hsp70Bc	242
Octbeta3R	1087
Hug	168
Octbeta2R	3607
Vha55	308
Snx3	313
Not10	68
CG11600	13
CG6753	378
Dtg	301
CG6225	473
CG14395	976
Gnmt	41
CG43630	4
mbo	51
Cyp313a4	70
kar	192
Su(fu)	30
CG31347	47
Arp1	79
CG14391	95
NijC	271
Past1	471
CG12279	67
mus308	92
Men	621
CG5724	20
CG5999	4
beat-Vc	807
CG31345	142
beat-Va	635
CG10126	166
d-cup	99
CG10909	62
beat-Vb	626
grsm	238
Spc25	91
Cyp304a1	32
CG14384	624
CG7381	1151
CG7091	232
Paip2	416
CG31342	183
CG14383	13
yellow-f	56
yellow-f2	42
CG7488	71
CG17327	385
CG44194	204
CG7518	496
CG8031	130
CG11656	110
CtBP	1129
CG46280	435
CG46281	486
l(3)87Df	69
ry	238
CG11668	38
snk	93
CG11670	42
CG45122	49
Hsc70-2	196
CG31157	208
CG7966	47
pic	164
sim	805
CG43063	34
timeout	110
CG34308	88
2mit	1319
CG8138	42
CG8508	28
CG14380	71
CG8141	102
CG8483	287
CG8476	115
Ace	1062
CG11686	168
Ravus	63
Su(var)3-7	152
TBC1D5	170
CG8630	372
CG15888	38
CG15887	107
Osi22	87
wntD	60
CG8773	42
CG8774	362
CG32473	610
CG43208	39
CG44142	21
CG45080	27
PK2-R2	864
PK2-R1	449
poly	432
Dic1	451
CheA87a	21
Lip3	158
CG34309	34
CG9813	362
CG8870	298
mRpS21	100
Droj2	658
CG9799	108
CCHa2	434
CG14374	32
CG14377	32
GILT1	112
CG33977	63
yellow-e3	64
yellow-e2	65
yellow-e	161
Ir87a	24
Act87E	217
yrt	712
CG14372	694
CG42778	252
CG31337	185
CG14370	190
CG14369	43
CG9759	48
CG9757	56
CG9269	87
CG10841	120
sqd	1095
rin	677
Rbp4	90
Hrb87F	144
B52	423
Task6	2160
CG9588	152
Lkb1	490
omd	222
flfl	624
f-cup	1060
ninaB	136
Adgf-D	75
Adgf-C	177
CG31469	5
primo-1	818
primo-2	145
CG34383	1073
Ubc87F	74
CG9312	104
Cht5	130
CG9297	468
CG9288	345
CG42375	83
CG9286	90
Dip-B	352
tal-1A	417
tal-3A	637
tal-AA	762
tal-2A	530
Mst87F	303
Nsf2	79
CG31495	135
CG14362	5
E5	394
ems	326
Art9	58
Art6	30
CG31517	415
CG9926	60
Ipp	133
CG9925	300
Orc2	65
rdx	1932
Cyp6d5	56
CG3061	319
CG9922	469
foxo	953
Npc2b	220
CCHa1	176
CG9920	101
PK1-R	405
CG12402	506
Kif19A	258
Abi	291
twf	58
140up	72
RpII140	156
CG14356	200
CG14355	141
CG42500	98
CG9722	70
CG44215	9
CG31533	140
CG31327	96
CG3199	136
Dop1R1	533
CG9649	140
CG31326	11
CG33109	5
Sp212	76
CG9631	46
CG9624	76
CG43291	62
CG9616	14
MetRS-m	84
CG43179	45
CG14840	30
CG14841	2
CG14839	74
trx	1313
red	1130
CG3259	28
su(Hw)	503
RpII15	43
CG31321	154
Crz	82
PR-Set7	371
Afti	408
ATPsynE	275
spn-B	160
NK7.1	1396
HEATR2	649
soti	170
cv-c	1482
natalisin	199
HtrA2	306
mRpL11	86
CG8461	90
Pde6	1448
CG34273	11
Cyp313a1	54
CG14854	7
CG14850	47
CG14851	22
CG8087	23
CG14852	19
CG31313	31
CG8066	62
Cys	36
CG7987	303
stumps	1270
CG14853	754
put	458
His4r	295
CG7886	645
Cad88C	635
l(3)L1231	398
CG3505	51
Hexim	123
Rad17	48
BigH1	141
Meltrin	687
kibra	688
CG7530	1116
eff	850
jvl	1563
smp-30	490
CG7362	144
CG14855	246
CG14856	86
CG14857	32
btsz	2790
CG3610	164
CG3631	939
Rrp6	304
CG33331	126
CG33332	78
CycC	148
UQCR-C1	127
CG7265	85
CG14860	51
Nup93-2	85
CG3817	14
RpS5b	86
VhaPPA1-1	130
Sdr	250
RpL10Aa	57
dpr9	763
CG6966	705
CG42788	332
CG6912	79
CG3984	14
CG3987	89
GlyS	850
Gyc88E	454
Mf	336
CG6752	184
CG42542	582
Spn88Ea	113
Spn88Eb	91
Mau2	96
CG6654	73
CG4210	59
SIDL	97
CG12241	155
Rpb7	88
CG31344	183
Caf1-55	317
Art3	333
mRpS10	97
CG34316	33
tefu	35
Hsc70-4	461
CG42404	23
eIF2gamma	210
Su(var)3-9	111
Set	135
ATPsynO	70
CG14864	158
Zip88E	101
Cp190	391
CG4338	92
MRG15	76
l(3)neo43	119
Tm1	1823
CG45218	156
Tm2	741
CG14866	475
CG6276	156
CG44040	47
ear	197
CG6236	159
ea	694
mRpL9	16
FK506-bp1	105
Sra-1	123
CG6218	368
SerRS-m	169
Surf4	217
CG31301	100
CG42727	1596
CG42726	71
Trs33	75
CG5038	126
Atg4b	108
CG5044	89
ldlCp	80
Trax	133
CG6171	89
CG34404	577
CG14868	167
CG6136	399
Ccm3	195
Rbp	1065
h-cup	82
CG6125	147
Atx2	924
CG6118	893
Act88F	94
AdamTS-A	1643
B9d1	101
Rh6	138
Trissin	60
obe	93
CG5213	200
CG44014	67
CG44013	18
AOX1	217
AOX2	25
AOX3	675
AOX4	61
pxb	598
CG31446	44
CG5399	93
CG5404	78
CG31294	92
CG34274	41
CG4520	134
CG12784	54
CG5623	55
CG4525	80
CG5614	105
CG9590	61
CG9589	83
c(3)G	79
Acyp2	147
nsl1	497
CG9593	7
alpha-Man-IIb	1098
rec	15
CG4576	350
CG43318	39
CG43317	60
Arpc3A	118
ND-23	88
spn-E	64
Pbp45	103
cv-d	273
CG4546	246
Hmt-1	157
CG31183	542
CG9632	152
CG14877	713
glob1	717
EndoU	195
CG45105	319
Fbxl7	473
CG34276	550
CG5478	48
blp	238
Sap47	1026
CG31088	237
CG4287	275
CG5516	167
CG32856	167
Rbf2	160
mor	101
Hel89B	683
srp	1177
GATAe	872
pnr	1383
CG10264	119
CG10407	221
IKKbeta	101
CG5013	118
msps	485
CG10185	82
Mhcl	1588
CG32855	207
sxe2	474
Akt1	740
Sb	1294
CG5903	281
CG5916	533
Fer2	92
CG6006	1049
CG8925	166
CG8927	155
Bin1	2787
sra	824
CG6126	250
CG31287	64
mtSSB	14
tara	1267
bor	163
asun	82
Mst89B	84
Mat89Ba	81
gish	1961
Zip89B	413
Sulf1	1323
CG44044	92
CG6901	48
CG17929	81
CG17930	94
SF2	97
pad	76
CG14879	342
Manf	107
CG10311	244
CG17931	325
CG14880	518
CG10317	202
ss	744
CG31279	238
CG17565	85
CG14881	66
mRpS33	117
ema	243
CG14894	90
CG14882	81
Pak3	911
CG10405	75
CG14883	275
CG42232	256
CSN5	80
Gyc89Da	386
Gyc89Db	540
Dhfr	94
Sdhaf3	91
Der-2	269
Cad89D	62
Decay	47
CG42342	888
CG14891	16
CG14903	34
Scp2	200
CG14892	684
CG10345	537
NPF	105
CG12783	155
CG10340	43
CG17562	100
CG17560	31
CG14893	51
CG14905	97
Fas1	248
nonA-l	123
Arl6IP1	280
CG10324	77
CCT3	291
CG14906	32
CG14907	60
modSP	156
Ubx	963
CG31275	61
Glut3	37
abd-A	1905
Abd-B	8140
VhaM9.7-d	14
Actn3	176
AhcyL2	346
CG18622	673
MESK4	111
CG3678	111
CG31274	121
CG17556	112
CG3534	143
Sf3a1	96
Irc	201
CG8907	148
Pxd	471
AdSL	126
CG5225	13
CG31268	15
CG4009	27
CG18213	103
CG5220	165
CG3995	74
Patr-1	86
Dad	926
Ns1	72
mRpS11	66
Keap1	728
kuk	348
GckIII	285
cal1	122
cher	1645
CG34278	14
CG42779	16
CG45079	12
CG17477	8
CG31269	5
CG31265	34
CG17475	43
CG4053	42
CG31266	23
CG31267	23
CG5246	94
CG5255	18
CG5265	108
TwdlW	92
m-cup	518
Det	104
CG5285	69
CG5292	113
Mur89F	329
CG31262	412
beat-IIb	720
CG44259	58
CG44257	198
CG31418	19
CG31419	19
beat-IIa	1105
Brf	175
lute	456
sds22	262
CREG	155
Sur-8	618
CG34279	83
CG34280	17
CG42823	4
CG42798	181
CG17283	6
CG5863	67
CG42821	11
CG42822	31
CG5866	7
CG33333	17
CG42834	26
CG14332	26
cysu	442
CG44090	22
CG14331	24
Eh	163
Dscam3	867
CG5823	603
P5cr-2	622
l(3)07882	100
SF1	204
Prx3	143
Hmx	434
CG7587	37
Sgs5	30
CG7606	27
sll	365
CG14329	64
Edg91	45
CG34281	14
CG14327	295
CG14324	24
CG14326	33
CG14323	12
AttD	56
CG43175	255
CG14322	265
CG7523	98
Mps1	100
alt	747
CG7655	120
CG31251	70
CG31360	76
CG31249	106
osa	563
Pxt	117
Atg8b	153
Lgr1	335
CG14321	40
TyrRII	1117
TyrR	1610
CG43102	3969
pasi1	125
CG7379	195
CG17803	351
CG17806	94
CG17802	81
CG17801	16
Odj	105
CG18012	95
tinc	870
Rim	1566
CG12347	84
CG43445	269
cpo	2901
DNaseII	38
CG7785	114
CG7794	102
htl	1389
CG14317	73
sr	1482
CG14316	95
CG14315	69
CG7218	95
Cbp20	68
CG7215	95
Prx5	752
wrd	2118
cdm	133
CG7208	219
Arp5	322
CG12321	102
MED17	58
CG14313	164
Ssdp	1501
CG7985	256
CG44158	160
CG14314	155
CG7183	290
CG7988	32
mTerf5	252
Non3	97
CG7168	258
Mdh2	105
repo	305
CG7156	101
14-3-3epsilon	315
CG12320	35
CG18598	29
Ada2a	107
Rpb4	107
moi	86
Tgs1	619
CG18599	348
Vps39	93
eIF1A	204
CG7142	237
CG14312	74
CG8064	74
CG7131	210
l(3)05822	1015
Dlc90F	193
CG18600	81
PKD	921
CG31235	124
CG15803	617
hmw	132
WRNexo	67
Nup43	82
gl	313
CG7675	272
CG14309	71
cona	94
Vha100-4	87
Vha100-2	415
Vti1b	719
CG12333	249
koko	358
CG7685	103
CG31122	167
CG10864	261
fru	3850
CG7691	347
CG43210	454
hemo	41
CG7694	692
fray	1673
qin	73
CG14304	209
CG14305	274
CG7695	28
CG14301	733
CG31224	986
CstF64	87
Cpsf73	97
Gos28	58
CG31231	93
CG31229	133
CG7702	522
CG31230	57
CG7705	46
CG7706	96
CG46318	394
CG7708	826
CG14300	45
CG34282	14
ChAT	428
VAChT	991
CG34283	68
CG7714	82
CG7715	54
CG14302	25
Mekk1	1201
CG7718	248
gwl	202
Epg5	103
CG7720	983
CG18208	833
CG31226	96
CG14298	257
CG14297	172
Rh2	55
CG14294	75
CG34284	26
CG14292	49
EndoA	658
CG14291	88
Xrp1	2432
Mpc1	329
CG42613	2994
CG43732	474
euc	36
Smu1	329
dnk	348
snRNP-U1-C	110
gukh	481
CG6005	86
CG14286	55
CG14285	21
GatA	106
NP15.6	80
P5cr	238
Prp18	78
CG6013	68
CG6026	343
cdi	1100
mRpL55	87
ATPsynD	87
CG6040	703
Cyp12a5	37
Cyp12a4	51
Ppcs	650
CG5835	224
CG11779	529
nos	263
Nsun5	62
CG42359	474
sqz	896
CG14282	52
CG5555	253
CG31475	1187
cry	187
vib	210
CG11703	73
CG5250	49
CG3773	35
unc79	147
CG5217	109
CG14280	929
CG44174	167
Dl	679
CG43203	65
Ino80	158
CG3581	131
CG31404	58
CG31245	177
CG3734	133
CG18493	15
CG3739	16
CG31244	85
CG5316	942
CG11626	148
CG31221	648
CG3517	142
Dys	2637
CG6255	102
CG15025	143
Cpr92A	121
CG7333	39
CG7342	370
CG17751	27
CG17752	42
CG16727	120
CG6231	1971
subdued	649
CG34138	71
Vha13	99
Nup58	139
CG6195	118
CG31220	275
CG31219	12
CG6184	348
ort	348
CG7432	548
Naam	451
CG34286	94
GluClalpha	820
CG6300	50
CG11659	50
CG11391	16
CG11407	62
CG11453	96
bnl	1110
CG31459	151
CG4662	67
Ire1	277
CG11447	33
CG4572	223
CG4686	337
CG4562	443
CG17186	97
Arc42	141
Ask1	1278
ninaE	176
CG4733	798
CG4538	791
Surf6	80
RhoGAP92B	903
Xport-B	524
Xport-A	118
CG4465	61
CG4770	25
CG4462	298
CG4459	49
Hs6st	591
mira	447
CG4783	42
CG31213	33
MED25	113
CG17190	54
CG4836	216
PIG-L	456
psidin	350
CG4424	80
CG4854	97
trem	99
CG4936	117
CG10889	138
CG17193	562
CG33934	2101
Indy-2	97
CG4390	107
mdlc	106
Rh3	24
CG31206	80
CG10887	101
CG5023	80
Nlg4	881
CG17199	70
cic	1870
CG4367	32
CG4362	30
CG42668	1350
CG4360	467
Sirt2	217
MtnC	38
Gfrl	2065
CG4335	48
eIF3g2	62
Dic2	595
MtnB	216
Or92a	7
MFS9	409
MtnE	70
MtnD	55
Stat92E	1159
DPCoAC	675
att-ORFB	110
CG5180	276
CG15922	183
CG5191	1333
CG10877	98
TFAM	137
CG5412	86
EloB	394
Srp14	54
CG34008	22
CG16953	361
Sep2	388
Srp72	114
PUS1	167
bon	705
CG15923	57
CG5466	208
H	697
Pi3K92E	797
Lrrk	247
GluRIIE	117
GluRIID	162
Nep4	589
Cpr92F	160
